الفكرة رائعة نابعة من التراث الجزائري الأصيل;Ramy eddition limité;Positive
 Je trouve le concept des canettes de jus très réussi. Bravo;Ramy eddition limité;Positive
المغاربة اسمحولنا كاين #رامي واحد...بالتوفيق انشاء الله;Ramy eddition limité;Positive
ديروزنا زيرو سكر الله يستركم;Ramy eddition limité;Improvement
الفكرة رائعة نابعة من التراث الجزائري  الأصيل والعريق;Ramy eddition limité;Positive
Bravo;Ramy eddition limité;Positive
"J'ai trop aimé le ""orange  pêche "" et bien-sûr l'incontournable ""ananas"", bravo";Ramy eddition limité;Positive
وتفعلها رامي فكرة شاابة هذي منتوجات بزليج جزائري تعطي نظرة على تراث الجزائري وأصالته ;Ramy eddition limité;Positive
concept ;Ramy eddition limité;Neutral
روعه رامي;Ramy eddition limité;Positive
الله يبارك;Ramy eddition limité;Positive
Toujours les meilleurs ;Ramy eddition limité;Positive
ماشاء الله;Ramy eddition limité;Positive
Ramy fait de bons boissons le problème c’est que je les trouve pas trop souvent ;Ramy eddition limité;Positive
Traditionnel juice;Ramy eddition limité;Positive
لكن النوعية و الذوق ربي يجيب;Ramy eddition limité;Negative
علاش طبعة محدودة..... خلوها على العام كيما راهي احسن;Ramy eddition limité;Question
"زيدو ذوق الموخيتو والدلاع
قارص و فراز";Ramy eddition limité;Improvement
مليح;Ramy eddition limité;Positive
ذوق دلاع وفرولة اختفى;Ramy eddition limité;Negative
ممتاز;Ramy eddition limité;Positive
زودو شوي في القرعة فيساع تخلاص;Ramy eddition limité;Improvement
زيدو بدون سكر;Ramy eddition limité;Improvement
Top bravo;Ramy eddition limité;Positive
رامي إلى الأمام;Ramy eddition limité;Positive
لفايدة وين كشما هبطتو فسعر. ياك منتوج محلي كيفاه سعر طالع صاروخ;Ramy eddition limité;Negative
رووعة;Ramy eddition limité;Positive
Super;Ramy eddition limité;Positive
Merci;Ramy eddition limité;
"حلة جديدة هايلة
بالأخص انكم وليتو تستلهمو التصميمات من تراثنا الجزائري مش من الغرب
بصح علاه محدودة؟";Ramy eddition limité;Question
Ki dir commande y9olek makach ;Ramy eddition limité;Negative
الأسعار غالية;Ramy eddition limité;Negative
نقصو السكر;Ramy eddition limité;Improvement
مكانش في جيجل;Ramy eddition limité;Negative
نسخة محدودة!!;Ramy eddition limité;Negative
اصبح المنتوج الجزائري ذا نوعية رفيعةينافس المنتوج الأجنبي في كل الميادين ان شاء الله التوفيق للجميع;Ramy eddition limité;Positive
مشاء الله;Ramy eddition limité;Positive
صراحة من افضل المشروبات في الجزائر والدليل هو رقم 1 ;Ramy eddition limité;Positive
الله يبارك;Ramy eddition limité;Positive
تبارك الرحمان;Ramy eddition limité;Positive
Bravo ;Ramy eddition limité;Positive
جربتو باذواقه الاربعة و بسعر جيد..;Frutty;Positive
موفقين;Frutty;Positive
السعر;Frutty;Question
الإنتاج دائم في قيما;Frutty;Positive
الله يبارك;Frutty;Positive
رامي منتوج بلادي;Frutty;Positive
دائما في القمة;Frutty;Positive
بالتوفيق إن شاء الله;Frutty;Positive
موفقين;Frutty;Positive
شربت منو مليح منتوج;Ramy Milky;Positive
شعال يدير;Ramy Milky;Question
هايل ديجا غير ضروك كنت نشرب فيه ;Ramy Milky;Positive
غير نقرا كلمة ذوق مانشريش ....يعني فيه ملون و مذاق و سكر;Ramy Milky;Negative
ملاح مي ڨااع معمرين سكر;Ramy Milky;Negative
يوووه ماشي بنين خلااااص;Ramy Milky;Negative
شربتو أول مرة والله غير حاشا الرزق;Ramy Milky;Negative
يدير 12الف المخير فيهم انتاع التفاح والبنان;Ramy Milky;Positive
و لي جي تاوعنا كامل خردة يا جاي ماء كامل يا سكر يا كولورو;Ramy Milky;Negative
مليح يعجبني برك لوكان ينقصولو شوية سكر;Ramy Milky;Positive
حلو بزاف مدرناش;Ramy Milky;Negative
مايعجبنيش عن نفسي يعجبني تع لامونغ;Ramy Milky;Negative
بنين ، بصح مطرطڨ بالمضافات الغذائية;Ramy Milky;Negative
حلو بزاف;Ramy Milky;Negative
رامي من احسن المنتوجات في الجزائر;Ramy Milky;Positive
مشكل يخلاص بالخف;Ramy Milky;Negative
"
Duc
Trop de sucre 😩😩😩";Ramy Milky;Negative
بصح ولا خفيف بزاف;Ramy Milky;Negative
يدير 120 دج;Ramy Milky;Negative
غااالي;Ramy Milky;Negative
عندو ڤو شغل تع دوا واشمل بنين و زيد ڤاع رايحين شغل ماء;Ramy Milky;Negative
معمر سكر;Ramy Milky;Negative
معجبنيش فيه ريحة حليب 🤣 ايفروي خير منو ;Ramy Milky;Negative
hacha na3ma je les craché tt de suite hachak inbuvable;Ramy Milky;Negative
تاع رمان تيعو خرمن توت;Ramy Milky;Negative
موافقك كنت نشرب كل يوم تبدل;Ramy Milky;Negative
شحال سعر;Ramy Milky;Question
Top;Ramy Milky;Positive
غير الجديد ماشاء الله..;Frutty;Positive
Trop classe;Ramy eddition limité;Positive
الافضل دائما;Ramy eddition limité;Positive
رامي بحلة جزائرية بامتياز;Ramy eddition limité;Positive
حبيييييييت;Ramy eddition limité;Positive
كامل منتوجاتكم فالقمة;Ramy eddition limité;Positive
دمتم الأفضل;Ramy eddition limité;Positive
Bravoooo;Ramy eddition limité;Positive
Pk édition limitée 😢😢😢;Ramy eddition limité;Question
❤️❤️;Ramy eddition limité;Positive
😍😍;Ramy eddition limité;Positive
روعة;Ramy eddition limité;Positive
Excellent surtout ananas;Ramy jus ananas;Positive
امي بزاف بنين بصح واقيل ماكاش كبيرة نصيب غير صغيرة;Ramy jus ananas;Negative
ifruit 100% le meilleur;Ramy jus ananas;Positive
مشروب سكر ماشي اناناس;Ramy Orange;Negative
العصير بنين بزاف;Ramy Orange;Negative
ما عجبنيش الطعم;Ramy Apple;Negative
عادي ماشي حاجة خاصة;Ramy Mango;Neutral
trop sucré بزاف;Ramy Mango;Negative
pas mal mais السعر غالي;Ramy Mango;Negative
يعجبني بزاف;Ramy Orange;Positive
نكهته صناعية;Ramy Mango;Negative
عادي نشربو;Ramy Apple;Neutral
top qualité;Ramy Apple;Positive
ماشي كيما قبل;Ramy Orange;Negative
normal rien spécial;Ramy Apple;Neutral
بنينة وخفيفة;Ramy Mango;Positive
ما فيهاش goût طبيعي;Ramy Apple;Negative
تجي مليحة مع السخانة;Ramy Orange; Neutral
j’adore ce jus;Ramy Orange;Positive
taste mauvais;Ramy Apple;Negative
ça passe;Ramy Orange; Neutral
روعة بصح غالية;Ramy Orange;Positive
سكر بزاف;Ramy Mango;Negative
ماشي خايب;Ramy Apple;Neutral
meilleur jus franchement;Ramy Orange;Positive
ما يصلحش للأطفال;Ramy Mango;Negative
عادي بزاف;Ramy Apple;Neutral
فريش ومليح;Ramy Apple;Positive
texture غريبة;Ramy Mango;Negative
normal;Ramy Orange; Neutral
يعجبني goût تاعو;Ramy Apple;Positive
ماشي طبيعي;Ramy Mango;Negative
نشربو مرة مرة;Ramy Apple;Neutral
délicieux;Ramy Mango;Positive
taste horrible;Ramy Mango;Negative
ça va;Ramy Apple; Neutral
خفيف وبنين;Ramy Orange;Positive
نكهة مصطنعة;Ramy Apple;Negative
مش بطال;Ramy Orange;Neutral
super jus;Ramy Orange;Positive
pas bon du tout;Ramy Apple;Negative
moyen;Ramy Orange;Neutral
نحبوه في الدار;Ramy Apple;Positive
ماشي مليح;Ramy Mango;Negative
عادي جدًا;Ramy Apple;Neutral
excellent goût;Ramy Orange;Positive
سكر بزاف بزاف;Ramy Mango;Negative
ماشي خايب بزاف;Ramy Apple;Neutral
perfect;Ramy Orange;Positive
ما يصلحش;Ramy Apple;Negative
ça peut aller;Ramy Mango;Neutral
طعم رائع;Ramy Apple;Positive
ما فيهش goût;Ramy Mango;Negative
عادي بزاف;Ramy Orange;Neutral
يعجبني بزاف;Ramy Orange;Positive
رديء;Ramy Apple;Negative
عادي;Ramy Mango;Neutral
goût top;Ramy Apple;Positive
pas naturel;Ramy Apple;Negative
ça passe;Ramy Orange;Neutral
ممتاز;Ramy Apple;Positive
taste سيء;Ramy Apple;Negative
مقبول;Ramy Mango;Neutral
فخم;Ramy Apple;Positive
نكهته غريبة;Ramy Mango;Negative
عادي;Ramy Orange;Neutral
super bon;Ramy Apple;Positive
pas bon;Ramy Apple;Negative
ça va;Ramy Apple;Neutral
بنين;Ramy Orange;Positive
